Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
M811227,8,otc alterations permit,7/19/2017,3603,87,4127,,20th,St,,,street space,issued,7/20/2017,7/19/2017,7/20/2017,,7/20/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.75753438760563, -122.43315886632703)",1471358161375
M812167,8,otc alterations permit,7/21/2017,3525,56,1190,,Bryant,St,,,street space permit,issued,7/21/2017,7/21/2017,7/21/2017,,7/21/2017,,,,,,,,1,,,,,,,,,,,,6,South of Market,94103,"(37.770615123628694, -122.40980164580058)",1471437156825
M812327,8,otc alterations permit,7/21/2017,4217,16,1285,,Rhode Island,St,,,street space,issued,7/21/2017,7/21/2017,7/21/2017,,7/21/2017,,,,,,,,1,,,,,,,,,,,,10,Potrero Hill,94107,"(37.753497332054756, -122.4013051612062)",1471461172323
M812487,8,otc alterations permit,7/21/2017,3577,036A,3487,,17th,St,,,street space,issued,7/21/2017,7/21/2017,7/21/2017,,7/21/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94110,"(37.76296879235046, -122.42362786497625)",1471512159538
201707242729,1,new construction,7/24/2017,3794,3,800,,02nd,St,,,,filed,7/24/2017,7/24/2017,,,,,,2,,,,100000,100000,,,,2,2,,,,1,constr type 1,Y,6,Mission Bay,94107,"(37.778471641499934, -122.38954138202004)",1471623167863
M812989,8,otc alterations permit,7/24/2017,5428C,4,12,,Bitting,Av,,,street space,issued,7/24/2017,7/24/2017,7/24/2017,,7/24/2017,,,,,,,,1,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.72682730776622, -122.39792167898939)",1471734491262
M813147,8,otc alterations permit,7/25/2017,1510,31,566,,35th,Av,,,street space,issued,7/25/2017,7/25/2017,7/25/2017,,7/25/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77831901621028, -122.4950278913481)",1471824102211
M813548,8,otc alterations permit,7/26/2017,3206,27,43,,Norton,St,,,street space,issued,7/26/2017,7/26/2017,7/26/2017,,7/26/2017,,,,,,,,1,,,,,,,,,,,,11,Outer Mission,94112,"(37.7248056861895, -122.43582950746978)",1471977154849
M813589,8,otc alterations permit,7/26/2017,1639,33,658,,06th,Av,,,street space,issued,7/26/2017,7/26/2017,7/26/2017,,7/26/2017,,,,,,,,1,,,,,,,,,,,,1,Inner Richmond,94118,"(37.77614428683018, -122.46360268723353)",1471996108029
201707273068,8,otc alterations permit,7/27/2017,1538,22,480,,07th,Av,0,,reroofing,issued,7/27/2017,7/27/2017,7/27/2017,,7/27/2017,,3,3,,,1/27/2018,16000,16000,apartments,4,apartments,4,0,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.77947769592029, -122.46491920846798)",1472143397054
M814107,8,otc alterations permit,7/27/2017,649,16,1969,,California,St,,,street space,issued,7/27/2017,7/27/2017,7/27/2017,,7/27/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.78950980343059, -122.42664838169641)",1472159236253
M814168,8,otc alterations permit,7/27/2017,918,003D,2265,,Beach,St,,,street space,issued,7/27/2017,7/27/2017,7/27/2017,,7/27/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.803088182617934, -122.44633156164528)",147220684102
M814249,8,otc alterations permit,7/27/2017,1747,13,236,,Hugo,St,,,street space,issued,7/27/2017,7/27/2017,7/27/2017,,7/27/2017,,,,,,,,1,,,,,,,,,,,,5,Inner Sunset,94122,"(37.765343048003366, -122.460746612167)",1472230244383
M814307,8,otc alterations permit,7/27/2017,6505,7,838,,Diamond,St,,,street space,issued,7/27/2017,7/27/2017,7/27/2017,,7/27/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.750594564725645, -122.43652647525641)",1472257205440
M814388,8,otc alterations permit,7/28/2017,2714,44,112,,Corwin,St,,,street space,issued,7/28/2017,7/28/2017,7/28/2017,,7/28/2017,,,,,,,,1,,,,,,,,,,,,8,Twin Peaks,94114,"(37.75762403970785, -122.44028017107473)",1472311142607
M814747,8,otc alterations permit,7/31/2017,3609,98,376,,San Carlos,St,,,sidewalk permit,issued,7/31/2017,7/31/2017,7/31/2017,,7/31/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.75738699487992, -122.41992370808534)",1472532161871
M814887,8,otc alterations permit,7/31/2017,762,263,601,,Van Ness,Av,726,,street space & mta parking meter,issued,7/31/2017,7/31/2017,7/31/2017,,7/31/2017,,,,,,,,1,,,,,,,,,,,,5,Western Addition,94102,"(37.78138577762911, -122.42140632801414)",147259881205
M815348,8,otc alterations permit,8/1/2017,177,22,655,,Pacific,Av,0,,street space & sidewalk repair w/mta,issued,8/1/2017,8/1/2017,8/1/2017,,8/1/2017,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94133,"(37.79673343870443, -122.40610115140781)",1472830407335
M815408,8,otc alterations permit,8/1/2017,3568,73,119,,Albion,St,,,street space,issued,8/1/2017,8/1/2017,8/1/2017,,8/1/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94110,"(37.764501035211495, -122.42261096370548)",1472865428978
M815467,8,otc alterations permit,8/1/2017,2851,4,297,,Glenview,Dr,,,street space permit,issued,8/1/2017,8/1/2017,8/1/2017,,8/1/2017,,,,,,,,1,,,,,,,,,,,,8,Twin Peaks,94131,"(37.74844288496666, -122.44526030756366)",1472898145842
M815471,8,otc alterations permit,8/1/2017,2658,45,3051,,Market,St,0,,street space,issued,8/1/2017,8/1/2017,8/1/2017,,8/1/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.76087622869976, -122.44213505089589)",1472908404887
201708023634,1,new construction,8/2/2017,1094,1,2675,,Geary,Bl,,,"erect 1-story, no basement, retail and parking. (building c)",issued,2/12/2018,8/2/2017,2/12/2018,,2/12/2018,,,1,,,11/12/2021,1500000,3450000,,,retail sales,0,2,,,,1,constr type 1,Y,2,Lone Mountain/USF,94115,"(37.781833472205996, -122.4457308481205)",147295789456
201708033731,8,otc alterations permit,8/3/2017,1151,20,810,,Lyon,St,0,,replace stairs & permited deck in kind.,filed,8/3/2017,8/3/2017,,,,,4,4,,,,40000,0,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,5,Lone Mountain/USF,94115,"(37.77852988809093, -122.44330692391148)",1473110408011
M815907,8,otc alterations permit,8/3/2017,993,1,3701,,Washington,St,,,street space permit,issued,8/3/2017,8/3/2017,8/3/2017,,8/3/2017,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78880651044243, -122.4541278326236)",147312486331
M815988,8,otc alterations permit,8/3/2017,2629,21,1110,,Ashbury,St,,,street space permit,issued,8/3/2017,8/3/2017,8/3/2017,,8/3/2017,,,,,,,,1,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.76292795163132, -122.4465968563894)",1473161140181
M816208,8,otc alterations permit,8/3/2017,3775,64,140,,South Park,,,,street space,issued,8/3/2017,8/3/2017,8/3/2017,,8/3/2017,,,,,,,,1,,,,,,,,,,,,6,Financial District/South Beach,94107,"(37.781457122959516, -122.39472898466143)",1473252470479
201708033844,8,otc alterations permit,8/3/2017,5467,11,3061,,San Bruno,Av,,,reroofing,issued,8/3/2017,8/3/2017,8/3/2017,,8/3/2017,,2,2,,,2/3/2018,5800,6000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,9,Portola,94134,"(37.72293002238886, -122.4014384773809)",1473262182707
M816428,8,otc alterations permit,8/4/2017,3508,1,1355,,Market,St,,,street space,issued,8/4/2017,8/4/2017,8/4/2017,,8/4/2017,,,,,,,,1,,,,,,,,,,,,6,South of Market,94103,"(37.77674230325018, -122.41635986037679)",1473384347127
M816647,8,otc alterations permit,8/4/2017,821,73,843,C,Hayes,St,0,,street space,issued,8/4/2017,8/4/2017,8/4/2017,,8/4/2017,,,,,,,,0,,,,,,,,,,,,5,Hayes Valley,94117,"(37.775671880692904, -122.43022136710104)",1473476425694
M816689,8,otc alterations permit,8/7/2017,1370,45,104,,11th,Av,,,street space permit,issued,8/7/2017,8/7/2017,8/7/2017,,8/7/2017,,,,,,,,1,,,,,,,,,,,,1,Inner Richmond,94118,"(37.7862317278448, -122.46974144995733)",147350597181
M816788,8,otc alterations permit,8/7/2017,472,27,3350,,Octavia,St,,,street space,issued,8/7/2017,8/7/2017,8/7/2017,,8/7/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80325795605083, -122.42969646999121)",1473535234391
M816947,8,otc alterations permit,8/7/2017,2623,228,4068,,17th,St,,,street space,issued,8/7/2017,8/7/2017,8/7/2017,,8/7/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.762747442729236, -122.43674793946953)",1473603500695
M817128,8,otc alterations permit,8/8/2017,150,4,1629,,Taylor,St,,,street space,issued,8/8/2017,8/8/2017,8/8/2017,,8/8/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94133,"(37.79738423126324, -122.41397932696881)",147366160684
201708084155,6,demolitions,8/8/2017,3728,86,1298,,Howard,St,,,demolition of restaurant (bldg 1) at gas station.,approved,2/16/2018,8/8/2017,,,,,1,,,,,45000,45000,food/beverage hndlng,0,,,0,,5,wood frame (5),,,,6,South of Market,94103,"(37.77558396346592, -122.413028747729)",1473687359272
201708094284,8,otc alterations permit,8/9/2017,645,19,1547,,California,St,,,"remodel of kitchen cainbets only. in same location, no moving of walls, doors or windows.",issued,8/9/2017,8/9/2017,8/9/2017,,8/9/2017,,3,3,,,2/9/2018,15000,15000,apartments,4,apartments,4,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79046519227051, -122.4197713623442)",1473840264807
M818028,8,otc alterations permit,8/10/2017,1220,2,133,,Baker,St,,,street space permit,issued,8/10/2017,8/10/2017,8/10/2017,,8/10/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.77220105071008, -122.44098269235243)",147403392800
M818208,8,otc alterations permit,8/10/2017,154,4,1637,,Hyde,St,0,,street space,issued,8/10/2017,8/10/2017,8/10/2017,,8/10/2017,,,,,,,,1,,,,,,,,,,,,3,Russian Hill,94109,"(37.795890045125766, -122.41874150243979)",1474122412989
201708104500,8,otc alterations permit,8/10/2017,540,12,2188,,Green,St,,,"soft story retrofit per sfebc chapter 4d, 2016 cebc appendix a-4",issued,8/11/2017,8/10/2017,8/11/2017,,8/11/2017,,4,4,,,2/11/2018,25000,25000,apartments,8,apartments,8,2,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.79641404710641, -122.43507519302477)",147414973603
M818327,8,otc alterations permit,8/10/2017,11,7,2800,,Leavenworth,St,,,street space,issued,8/24/2017,8/10/2017,8/24/2017,,8/24/2017,,,,,,,,1,,,,,,,,,,,,3,North Beach,94133,"(37.80738912319805, -122.41853873853351)",147417856169
M818368,8,otc alterations permit,8/11/2017,5285A,5,2177,,Jerrold,Av,,,street space,issued,8/11/2017,8/11/2017,8/11/2017,,8/11/2017,,,,,,,,1,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.744080814478636, -122.40063458267244)",1474206178449
201708114578,8,otc alterations permit,8/11/2017,3517,34,1415,,Howard,St,,,title-24 lighting. ref pa #201608114810. maher na,complete,11/17/2017,8/11/2017,8/14/2017,11/17/2017,8/14/2017,,2,2,,,8/14/2018,60000,20000,residential hotel,10,school,0,2,,5,wood frame (5),5,wood frame (5),,6,South of Market,94103,"(37.77339574772141, -122.41459288052016)",1474236156582
M818747,8,otc alterations permit,8/14/2017,3147,30,4534,,Mission,St,,,street space w/mta,issued,8/14/2017,8/14/2017,8/14/2017,,8/14/2017,,,,,,,,1,,,,,,,,,,,,11,Outer Mission,94112,"(37.72545183685408, -122.43458476956798)",1474411246405
M819167,8,otc alterations permit,8/15/2017,3763,116,88,,Perry,St,,,street space permit,issued,8/15/2017,8/15/2017,8/15/2017,,8/15/2017,,,,,,,,1,,,,,,,,,,,,6,Financial District/South Beach,94107,"(37.78260292996565, -122.39671577886755)",1474563508606
M819208,8,otc alterations permit,8/15/2017,1629,39,606,,16th,Av,,,street space,issued,8/15/2017,8/15/2017,8/15/2017,,8/15/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94118,"(37.77654068131081, -122.47455095981007)",1474605107596
M819227,8,otc alterations permit,8/15/2017,6506,11,416,,Jersey,St,,,street space,issued,8/15/2017,8/15/2017,8/15/2017,,8/15/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.750697166270804, -122.43474494640712)",1474615205492
M819807,8,otc alterations permit,8/16/2017,196,27,415,,Jackson,St,,,street space,issued,8/16/2017,8/16/2017,8/16/2017,,8/16/2017,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94111,"(37.79631629207845, -122.40239121007386)",1474812501834
M820307,8,otc alterations permit,8/17/2017,514,11,2330,,Filbert,St,,,street space,issued,8/17/2017,8/17/2017,8/17/2017,,8/17/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79801642192892, -122.43796960252546)",147501272583
201708185223,8,otc alterations permit,8/18/2017,4991,540,301,,Crescent,Ct,3412,,"tile replacement in vanity area and bathroom, bathroom, retile shower, and toilet replacement.",issued,8/18/2017,8/18/2017,8/18/2017,,8/18/2017,,4,4,,,12/18/2017,3000,3500,apartments,72,apartments,72,0,,5,wood frame (5),5,wood frame (5),,10,Bayview Hunters Point,94134,"(37.711199226336426, -122.38800282973878)",1475159494855
M820787,8,otc alterations permit,8/18/2017,3640,58,3045,,23rd,St,,,street space,issued,8/18/2017,8/18/2017,8/18/2017,,8/18/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.75397881801048, -122.41293233118827)",1475189163591
M820931,8,otc alterations permit,8/18/2017,240,16,550,,Kearny,St,,,street space,issued,8/18/2017,8/18/2017,8/18/2017,,8/18/2017,,,,,,,,1,,,,,,,,,,,,3,Financial District/South Beach,94104,"(37.79334149331904, -122.40421642472705)",1475260350373
M821027,8,otc alterations permit,8/21/2017,4228,89,1325,,Indiana,St,,,street space,issued,8/21/2017,8/21/2017,8/21/2017,,8/21/2017,,,,,,,,1,,,,,,,,,,,,10,Potrero Hill,94107,"(37.753679939812486, -122.39041477197031)",1475301488487
M821087,8,otc alterations permit,8/21/2017,5646,2,106,,Andover,St,,,street space permit,issued,8/21/2017,8/21/2017,8/21/2017,,8/21/2017,,,,,,,,1,,,,,,,,,,,,9,Bernal Heights,94110,"(37.74149173761444, -122.41650831931199)",1475340185628
M821247,8,otc alterations permit,8/21/2017,3602,36,225,,Hartford,St,0,,street space,issued,8/21/2017,8/21/2017,8/21/2017,,8/21/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.75892981138001, -122.43338302690773)",1475402404733
201708215448,3,additions alterations or repairs,8/21/2017,317,3,405,,Taylor,St,,,fabricate and install 4 new open sided awnings with loose valance.** maher: n/a **,complete,2/6/2018,8/21/2017,1/8/2018,2/6/2018,1/8/2018,,17,17,,,7/8/2018,7500,7500,tourist hotel/motel,263,tourist hotel/motel,263,2,,1,constr type 1,1,constr type 1,,6,Tenderloin,94102,"(37.786162542148716, -122.41168006925004)",1475470233807
201708235613,8,otc alterations permit,8/23/2017,1225,27,410,,Cole,St,,,soft story retrofit per sfebc chapter 4d engineering criteria 2016 cebc appendix a-4,issued,1/25/2018,8/23/2017,1/25/2018,,1/25/2018,,4,4,,,1/25/2019,30000,61000,apartments,7,apartments,7,2,,5,wood frame (5),5,wood frame (5),,5,Haight Ashbury,94117,"(37.771245032868315, -122.4503808715838)",1475697267395
201708235623,8,otc alterations permit,8/23/2017,1530,27,414,,15th,Av,,,replace damaged siding facing back yard.,complete,9/25/2017,8/23/2017,8/23/2017,9/25/2017,8/23/2017,,2,2,,,12/23/2017,4500,4500,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,1,Outer Richmond,94118,"(37.78018564242144, -122.47365194167364)",1475713103100
M822127,8,otc alterations permit,8/23/2017,6575,5,3555,,Cesar Chavez,St,,,street space,issued,8/23/2017,8/23/2017,8/23/2017,,8/23/2017,,,,,,,,1,,,,,,,,,,,,9,Bernal Heights,94110,"(37.747240193798746, -122.42109833964902)",1475726503117
M822407,8,otc alterations permit,8/23/2017,2768,19,4016,,22nd,St,,,street space permit,issued,8/23/2017,8/23/2017,8/23/2017,,8/23/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75450271309331, -122.43704408346183)",1475779143681
M822588,8,otc alterations permit,8/23/2017,156,015A,151,,Bernard,St,,,street space permit,issued,8/23/2017,8/23/2017,8/23/2017,,8/23/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.7960937860448, -122.41592354412805)",147580960982
M822907,8,otc alterations permit,8/24/2017,1243,30,1375,,Haight,St,,,street space,issued,8/24/2017,8/24/2017,8/24/2017,,8/24/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.770046135459225, -122.44478615705992)",147587993584
M823050,8,otc alterations permit,8/24/2017,3609,33,953,,Valencia,St,,,street space,issued,8/24/2017,8/24/2017,8/24/2017,,8/24/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.75765373969097, -122.42089162291704)",1475959161808
201708245818,3,additions alterations or repairs,8/24/2017,1379,34,100,,20th,Av,,,soft story retrofit per sfebc chapter 4d. engineering criteria asce 41-13.,filed,8/24/2017,8/24/2017,,,,,3,3,,,,90000,,apartments,9,apartments,9,2,,5,wood frame (5),5,wood frame (5),,1,Outer Richmond,94121,"(37.785750760119925, -122.479590916983)",147599597579
201708245826,8,otc alterations permit,8/24/2017,1923,23,1662,,21st,Av,,,recommencement and completion of work approved under pa#2013-07-31-3204,issued,8/24/2017,8/24/2017,8/24/2017,,8/24/2017,,2,2,,,2/24/2018,10000,10000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.756722563984916, -122.47846371493331)",1476010120653
M823327,8,otc alterations permit,8/24/2017,5808,13,21,,Porter,St,,,street space,issued,8/24/2017,8/24/2017,8/24/2017,,8/24/2017,,,,,,,,0,,,,,,,,,,,,9,Bernal Heights,94110,"(37.73421472454094, -122.41797883489409)",1476026188679
201708255885,8,otc alterations permit,8/25/2017,3587,056B,72,,Oakwood,St,,,replace broken windows and put in new security gate for safety reasons. building is not a historic resource (category c).,filed,8/25/2017,8/25/2017,,,,,,,,,,,,,,,,2,,,,,,,8,Mission,94110,"(37.76049276977633, -122.42520175514547)",1476091160336
M823567,8,otc alterations permit,8/25/2017,826,28,979,,Fell,St,,,street space,issued,8/25/2017,8/25/2017,8/25/2017,,8/25/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.77431524189093, -122.43381739803773)",1476108276189
M823787,8,otc alterations permit,8/25/2017,1184,27,1571,,Fulton,St,,,street space,issued,8/25/2017,8/25/2017,8/25/2017,,8/25/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.776059645205706, -122.44259512509244)",147619991692
M824087,8,otc alterations permit,8/28/2017,5520,32,26,,Montezuma,St,,,street space,issued,8/28/2017,8/28/2017,8/28/2017,,8/28/2017,,,,,,,,1,,,,,,,,,,,,9,Bernal Heights,94110,"(37.74581532319371, -122.41617658515635)",1476337183350
M824167,8,otc alterations permit,8/28/2017,4102,58,547,,Texas,St,,,street space,issued,8/28/2017,8/28/2017,8/28/2017,,8/28/2017,,,,,,,,1,,,,,,,,,,,,10,Potrero Hill,94107,"(37.75945796914672, -122.3949447071409)",1476371170746
M824427,8,otc alterations permit,8/28/2017,581,11,2398,,Pacific,Av,0,,street space,issued,8/28/2017,8/28/2017,8/28/2017,,8/28/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.793646103363706, -122.43453336297887)",1476441304473
M824887,8,otc alterations permit,8/29/2017,826,18,949,,Fell,St,0,,street space,issued,8/29/2017,8/29/2017,8/29/2017,,8/29/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.774315500964754, -122.43337456827481)",1476560414042
M825087,8,otc alterations permit,8/29/2017,1417,021B,262,,17th,Av,,,street space,issued,8/29/2017,8/29/2017,8/29/2017,,8/29/2017,,,,,,,,0,,,,,,,,,,,,1,Outer Richmond,94118,"(37.78312665591635, -122.47602953471912)",147664198888
M825167,8,otc alterations permit,8/29/2017,0222A,52,1170,,Sacramento,St,14,D,street space,issued,8/29/2017,8/29/2017,8/29/2017,,8/29/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.792930483957214, -122.41218961797485)",147666063061
201708296320,8,otc alterations permit,8/29/2017,842,3,333,,Webster,St,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,8/29/2017,8/29/2017,,,,,3,3,,,,70000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,5,Hayes Valley,94117,"(37.77367223993096, -122.4294114839889)",147669382824
M825327,8,otc alterations permit,8/29/2017,2772,38,531,,Eureka,St,,,street space,issued,8/29/2017,8/29/2017,8/29/2017,,8/29/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.753753866061246, -122.4372927189145)",1476731143872
201708306373,8,otc alterations permit,8/30/2017,6516,24,3333,,24th,St,0,,"mandatory soft story retrofit per s.f. ordinance chapter 4d, 2016 cebc appendix a-4. n/a maher ordinance",filed,8/30/2017,8/30/2017,,,,,3,3,,,,30000,43500,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,9,Mission,94110,"(37.75195792326895, -122.41927212355164)",1476758399098
M825427,8,otc alterations permit,8/30/2017,189,21,1125,,Jackson,St,,,street space,issued,8/30/2017,8/30/2017,8/30/2017,,8/30/2017,,,,,,,,0,,,,,,,,,,,,3,Nob Hill,94108,"(37.79498627214074, -122.41361242808992)",1476790276588
M825487,8,otc alterations permit,8/30/2017,1688,10,851,,45th,Av,,,street space,issued,8/30/2017,8/30/2017,8/30/2017,,8/30/2017,,,,,,,,0,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77247449528759, -122.50601053030351)",1476806110324
201708306410,3,additions alterations or repairs,8/30/2017,2779,1,800,,Corbett,Av,,,"compliance w/ mandatory soft story retrofit program, cebc 2016 app. a-4. sfebc 2016 chp. 4d.",approved,12/13/2017,8/30/2017,,,,,4,4,,,,50000,93000,apartments,7,apartments,7,2,,5,wood frame (5),5,wood frame (5),,8,Twin Peaks,94131,"(37.75400173601682, -122.44337939283498)",1476815144011
M825707,8,otc alterations permit,8/30/2017,499,002B,1320,,Lombard,St,,,street space,issued,8/30/2017,8/30/2017,8/30/2017,,8/30/2017,,,,,,,,0,,,,,,,,,,,,2,Russian Hill,94109,"(37.80173711253871, -122.42330109369419)",147685572033
M825787,8,otc alterations permit,8/30/2017,0436C,38,3770,,Fillmore,St,,,street space,issued,8/30/2017,8/30/2017,8/30/2017,,8/30/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80592744430151, -122.4369387511745)",1476871495375
M825887,8,otc alterations permit,8/30/2017,945,7,2516,,Union,St,,,street space,filed,8/30/2017,8/30/2017,,,,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79667082452828, -122.44103045743849)",147691884956
M826607,8,otc alterations permit,8/31/2017,1454,022F,396,,23rd,Av,,,street space,issued,8/31/2017,8/31/2017,8/31/2017,,8/31/2017,,,,,,,,0,,,,,,,,,,,,1,Outer Richmond,94121,"(37.780466837572774, -122.48243362907256)",1477123387285
M826867,8,otc alterations permit,9/1/2017,4103,105,577,,Mississippi,St,,,street space,issued,9/1/2017,9/1/2017,9/1/2017,,9/1/2017,,,,,,,,1,,,,,,,,,,,,10,Potrero Hill,94107,"(37.75908497826554, -122.39393677953211)",1477214458842
201709016792,3,additions alterations or repairs,9/1/2017,7104,40,139,,Lobos,St,,,horizontal & vertical addition,filed,9/1/2017,9/1/2017,,,,Y,2,2,,,,400000,,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),Y,11,Oceanview/Merced/Ingleside,94112,"(37.71466591040003, -122.45725020868305)",1477315221686
